Date,NYM_NGA31D,NYM_NGA61D,NYM_NGA91D,NYM_NGA181D,NYM_NGA365D,NYM_NGA550D,NYM_NGA730D,NYM_NGA1095D,NYM_NGA1460D,NYM_NGA1825D,NYM_NGA2555D
13/07/2004,5.905,5.955,6.003,6.758,5.931,6.42,5.455,5.008,4.688,4.543,4.398
14/07/2004,5.977,6.034,6.081,6.827,5.968,6.468,5.493,5.046,4.711,4.566,4.421
15/07/2004,5.846,5.898,5.953,6.753,5.921,6.438,5.485,5.036,4.714,4.564,4.419
16/07/2004,5.887,5.932,5.985,6.792,5.938,6.455,5.502,5.073,4.766,4.611,4.466
19/07/2004,5.818,5.864,5.919,6.741,5.91,6.439,5.5,5.081,4.779,4.624,4.479
20/07/2004,5.837,5.877,5.934,6.757,5.927,6.432,5.488,5.076,4.779,4.624,4.479
21/07/2004,5.931,5.969,6.024,6.824,5.944,6.426,5.482,5.071,4.774,4.619,4.474
22/07/2004,6.152,6.2,6.244,6.982,5.993,6.463,5.458,5.051,4.774,4.619,4.474
23/07/2004,5.957,5.996,6.051,6.829,5.935,6.46,5.47,5.061,4.784,4.629,4.484
26/07/2004,5.957,5.996,6.051,6.829,5.935,6.46,5.47,5.051,4.774,4.619,4.474
27/07/2004,5.989,6.022,6.072,6.847,5.953,6.469,5.479,5.063,4.786,4.631,4.486
28/07/2004,6.048,6.142,6.197,6.943,6.014,6.513,5.513,5.088,4.811,4.656,4.511
29/07/2004,6.18,6.241,6.556,6.954,6.079,6.522,5.587,5.18,4.905,4.745,4.57
30/07/2004,5.813,5.915,6.36,6.855,6.105,6.616,5.701,5.26,4.985,4.825,4.65
02/08/2004,5.813,5.915,6.36,6.855,6.105,6.616,5.701,5.264,4.989,4.829,4.654
03/08/2004,5.816,5.918,6.383,6.916,6.168,6.679,5.749,5.331,5.056,4.891,4.716
04/08/2004,5.661,5.763,6.253,6.87,6.15,6.67,5.75,5.363,5.113,4.948,4.773
05/08/2004,5.712,5.837,6.307,6.926,6.16,6.675,5.76,5.388,5.148,4.998,4.753
06/08/2004,5.588,5.728,6.218,6.877,6.15,6.675,5.75,5.442,5.212,5.042,4.777
09/08/2004,5.693,5.828,6.298,6.912,6.143,6.655,5.73,5.447,5.217,5.047,4.782
10/08/2004,5.614,5.752,6.255,6.868,6.093,6.593,5.646,5.445,5.215,5.045,4.78
11/08/2004,5.614,5.752,6.255,6.868,6.093,6.593,5.646,5.401,5.171,5.001,4.736
12/08/2004,5.442,5.592,6.162,6.827,6.057,6.576,5.629,5.382,5.137,4.972,4.707
13/08/2004,5.533,5.658,6.223,6.85,6.044,6.558,5.624,5.373,5.128,4.963,4.698
16/08/2004,5.378,5.499,6.119,6.788,5.996,6.519,5.589,5.349,5.104,4.939,4.674
17/08/2004,5.373,5.477,6.104,6.784,5.99,6.504,5.574,5.329,5.074,4.909,4.644
18/08/2004,5.382,5.497,6.124,6.791,5.997,6.509,5.593,5.324,5.059,4.894,4.629
19/08/2004,5.507,5.615,6.299,6.942,6.048,6.561,5.621,5.344,5.079,4.914,4.649
20/08/2004,5.552,5.693,6.418,7.073,6.093,6.603,5.626,5.356,5.091,4.926,4.661
23/08/2004,5.31,5.466,6.251,6.975,6.07,6.59,5.618,5.343,5.078,4.913,4.648
24/08/2004,5.338,5.475,6.209,6.944,6.066,6.604,5.627,5.36,5.085,4.92,4.655
25/08/2004,5.298,5.432,6.082,6.842,6.042,6.587,5.61,5.34,5.065,4.9,4.635
26/08/2004,5.189,5.334,5.994,6.824,6.024,6.583,5.615,5.345,5.07,4.905,4.64
27/08/2004,5.082,5.189,5.916,6.831,6.05,6.611,5.644,5.357,5.102,4.937,4.672
30/08/2004,5.234,5.859,6.409,6.661,6.028,6.444,5.631,5.323,5.088,4.923,4.693
31/08/2004,5.074,5.717,6.302,6.572,5.951,6.377,5.597,5.3175,5.0825,4.9175,4.6875
01/09/2004,4.965,5.566,6.201,6.536,5.969,6.396,5.604,5.324,5.089,4.924,4.694
02/09/2004,4.767,5.495,6.13,6.455,5.953,6.373,5.596,5.316,5.081,4.916,4.686
03/09/2004,4.675,5.5,6.155,5.989,6.225,5.558,6.085,5.326,5.091,4.926,4.696
06/09/2004,4.675,5.5,6.155,5.989,6.225,5.558,6.085,#N/A,#N/A,#N/A,#N/A
07/09/2004,4.79,5.64,6.292,6.542,5.987,6.42,5.632,5.351,5.116,4.951,4.721
08/09/2004,4.631,5.521,6.241,6.496,5.957,6.39,5.6,5.339,5.104,4.939,4.709
09/09/2004,4.658,5.617,6.377,6.687,6.054,6.482,5.667,5.396,5.146,4.981,4.751
10/09/2004,4.57,5.549,6.364,6.697,6.044,6.484,5.664,5.383,5.133,4.968,4.738
13/09/2004,4.85,5.707,6.472,6.775,6.06,6.49,5.67,5.369,5.119,4.954,4.724
14/09/2004,4.928,5.725,6.385,6.635,6,6.435,5.615,5.319,5.069,4.904,4.674
15/09/2004,4.824,5.533,6.208,6.453,5.948,6.373,5.598,5.295,5.045,4.88,4.65
16/09/2004,4.719,5.443,6.193,6.453,5.938,6.368,5.583,5.285,5.035,4.87,4.64
17/09/2004,5.108,5.714,6.359,6.573,5.995,6.41,5.635,5.328,5.078,4.913,4.683
20/09/2004,5.249,5.75,6.315,6.512,5.967,6.372,5.597,5.29,5.04,4.875,4.645
21/09/2004,5.608,6.182,6.722,6.822,6.142,6.537,5.729,5.373,5.123,4.958,4.728
22/09/2004,5.629,6.242,6.782,6.842,6.092,6.467,5.662,5.327,5.092,4.927,4.697
23/09/2004,5.564,6.219,6.859,6.919,6.133,6.523,5.69,5.355,5.12,4.955,4.725
24/09/2004,5.392,6.067,6.802,6.917,6.148,6.545,5.676,5.336,5.101,4.936,4.706
27/09/2004,5.262,5.931,6.706,6.916,6.147,6.55,5.686,5.321,5.086,4.921,4.691
28/09/2004,5.723,6.351,7.021,7.181,6.325,6.724,5.808,5.369,5.124,4.934,4.704
29/09/2004,6.911,7.561,7.861,6.611,6.476,5.956,5.848,5.396,5.136,4.936,4.861
30/09/2004,6.795,7.635,8.03,6.615,6.465,5.97,5.86,5.37,5.115,4.915,4.84
01/10/2004,6.772,7.572,7.942,6.538,6.388,5.913,5.813,5.37,5.115,4.915,4.84
04/10/2004,6.725,7.625,7.995,6.58,6.425,5.945,5.845,5.422,5.167,4.967,4.892
