Date,XAL31D,XAL61D,XAL91D,XAL181D,XAL365D,XAL550D,XAL730D,XAL1095D,XAL1460D,XAL1825D
12/03/2004,1641.75,1650.50,1657.25,1667.00,1625.00,1589.00,1572.00,1542.50,1517.00,1489.00
15/03/2004,#N/A,1657.85,1664.60,1674.50,1639.00,1602.00,1584.50,1553.00,1525.00,1497.00
16/03/2004,1683.75,1690.50,1696.00,1698.50,1653.50,1616.50,1597.75,1558.50,1530.50,1503.50
17/03/2004,1655.50,1661.75,1667.25,1670.00,1635.00,1606.50,1587.25,1552.50,1524.50,1497.50
18/03/2004,1666.25,1672.50,1678.25,1682.00,1643.50,1613.50,1593.25,1557.00,1526.25,1510.50
19/03/2004,1667.00,1673.00,1678.25,1682.00,1647.00,1617.00,1596.00,1555.50,1525.75,1510.00
22/03/2004,1653.50,1659.50,1665.25,1671.25,1642.75,1615.00,1594.75,1559.50,1541.50,1526.25
23/03/2004,1630.50,1636.75,1642.75,1647.00,1622.00,1597.00,1578.25,1545.75,1523.00,1507.75
24/03/2004,1642.75,1649.00,1655.00,1654.50,1620.00,1592.50,1574.00,1535.00,1508.00,1495.25
25/03/2004,1636.00,1642.25,1648.25,1647.25,1610.50,1583.00,1563.50,1524.50,1497.50,1482.50
26/03/2004,1666.00,1671.75,1677.25,1674.00,1636.50,1606.50,1580.50,1528.00,1501.00,1484.50
29/03/2004,1666.25,1671.75,1677.00,1676.00,1639.00,1608.00,1584.00,1542.75,1518.00,1501.50
30/03/2004,1672.25,1678.00,1683.50,1683.50,1644.50,1610.00,1584.00,1540.50,1515.00,1498.50
31/03/2004,1715.00,1721.00,1726.50,1728.25,1684.00,1648.00,1618.00,1571.50,1540.75,1526.00
01/04/2004,1732.25,1738.25,1743.75,1743.00,1691.00,1648.00,1619.50,1572.00,1533.75,1510.50
02/04/2004,1744.75,1750.75,1756.50,1755.50,1699.50,1653.00,1620.00,1564.50,1526.25,1503.00
05/04/2004,1721.25,1727.25,1733.00,1733.00,1682.00,1642.50,1614.00,1566.00,1526.25,1501.50
06/04/2004,1737.25,1743.25,1749.00,1748.50,1694.50,1652.50,1622.50,1573.25,1538.00,1515.50
07/04/2004,1730.50,1736.75,1742.75,1744.75,1690.50,1646.50,1618.00,1572.25,1537.00,1514.50
08/04/2004,1734.25,1740.50,1746.75,1749.75,1698.50,1653.50,1622.50,1573.75,1543.00,1520.50
13/04/2004,1733.25,1739.75,1746.25,1751.50,1702.25,1658.50,1627.75,1579.00,1548.25,1525.75
14/04/2004,1773.50,1780.00,1786.75,1789.25,1733.00,1682.00,1647.50,1599.75,1555.50,1521.50
15/04/2004,1790.25,1796.50,1802.75,1805.00,1737.50,1682.00,1644.50,1589.00,1549.25,1521.00
16/04/2004,1810.50,1816.50,1822.75,1823.00,1747.00,1684.50,1643.25,1584.75,1542.75,1514.50
19/04/2004,#N/A,1828.25,1832.25,1829.00,1743.00,1680.00,1637.25,1575.75,1533.75,1505.50
20/04/2004,1831.00,1833.50,1837.00,1818.00,1738.00,1679.00,1639.00,1579.50,1538.50,1511.50
21/04/2004,1712.00,1715.00,1720.00,1711.00,1657.00,1616.00,1589.00,1544.00,1509.00,1483.00
22/04/2004,1706.00,1709.50,1714.75,1707.00,1651.00,1613.00,1586.00,1542.00,1508.50,1484.50
23/04/2004,1709.75,1714.25,1719.50,1706.00,1648.00,1610.00,1583.00,#N/A,#N/A,#N/A
26/04/2004,1710.00,1715.00,1720.25,1707.00,1662.00,1625.00,1598.00,#N/A,#N/A,#N/A
27/04/2004,1724.75,1730.00,1735.25,1722.00,1674.00,1633.25,1601.00,#N/A,#N/A,#N/A
28/04/2004,1650.00,1655.25,1660.50,1657.00,1624.00,1592.50,1570.00,#N/A,#N/A,#N/A
29/04/2004,1651.75,1657.00,1662.25,1658.00,1619.00,1587.00,1567.50,#N/A,#N/A,#N/A
30/04/2004,1658.25,1663.50,1669.00,1666.50,1628.00,1598.00,1579.00,1553.50,1538.00,1522.00
04/05/2004,1678.50,1683.00,1687.50,1683.50,1644.00,1611.00,1589.00,1557.00,1534.00,1515.50
05/05/2004,1665.25,1670.50,1675.50,1672.50,1634.00,1601.50,1579.50,1547.50,1524.50,1506.00
06/05/2004,1655.50,1661.50,1667.00,1666.00,1630.00,1599.00,1578.00,1548.00,1525.00,1506.50
07/05/2004,1636.00,1640.50,1646.00,1647.00,1620.00,1593.00,1572.00,1542.00,1520.00,1497.50
10/05/2004,1548.00,1551.50,1557.00,1560.00,1552.00,1539.00,1526.00,1503.00,1482.00,1463.50
11/05/2004,1580.75,1583.75,1589.50,1590.50,1574.00,1559.00,1545.00,1519.00,1497.00,1479.00
12/05/2004,1604.00,1607.00,1612.00,1609.00,1589.50,1572.50,1560.00,1539.00,1518.00,1499.00
13/05/2004,1583.50,1587.00,1592.00,1590.00,1570.00,1554.00,1543.00,1525.00,1508.00,1494.75
14/05/2004,1608.75,1611.75,1616.50,1607.00,1581.00,1561.00,1545.50,1520.50,1500.50,1484.50
17/05/2004,1608.75,1579.25,1584.00,1579.00,1561.00,1548.00,1535.50,1514.50,1499.50,1485.50
18/05/2004,1621.75,1627.00,1625.00,1613.00,1592.50,1577.50,1563.75,1538.00,1517.25,1499.50
19/05/2004,1630.25,1636.00,1635.00,1612.00,1589.00,1571.75,1556.50,1527.75,1502.00,1479.25
20/05/2004,1621.00,1626.75,1626.00,1602.50,1581.00,1566.00,1551.50,1524.00,1502.50,1484.50
21/05/2004,1639.25,1645.25,1644.50,1622.00,1598.50,1581.25,1564.75,1534.25,1508.50,1485.75
24/05/2004,1651.75,1657.75,1657.00,1630.00,1603.00,1585.00,1569.50,1540.75,1515.00,1492.25
25/05/2004,1636.75,1643.00,1644.00,1619.00,1593.00,1575.00,1560.75,1533.75,1508.00,1485.25
26/05/2004,1656.75,1663.00,1665.00,1639.50,1612.00,1592.00,1576.50,1547.75,1522.00,1499.25
27/05/2004,1665.50,1672.00,1675.50,1650.00,1619.00,1597.00,1581.50,1552.75,1527.00,1504.25
28/05/2004,1683.75,1691.00,1695.75,1672.00,1638.00,1614.00,1596.75,1563.75,1533.25,1512.50
01/06/2004,1699.00,1706.00,1711.00,1689.50,1652.50,1626.00,1604.50,1565.00,1532.75,1509.50
02/06/2004,1663.25,1670.50,1675.50,1655.00,1622.50,1600.00,1577.75,1540.50,1513.00,1493.00
03/06/2004,1672.00,1679.50,1685.00,1666.00,1632.50,1610.00,1587.75,1550.50,1523.00,1502.75
